Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2024-02-07,IDN,fishing,16,235.41
2024-02-25,IDN,trawlers,9,170.19
2024-02-18,IDN,trawlers,11,179.17
2024-02-16,IDN,purse_seines,8,112.41
2024-02-21,IDN,purse_seines,13,162.94
2024-02-25,IDN,purse_seines,9,108.09
2024-02-24,IDN,purse_seines,13,220.81
2024-02-20,IDN,set_longlines,7,130.61
2024-02-15,IDN,set_longlines,6,114.32
2024-02-01,IDN,set_longlines,9,163.36
2024-02-09,IDN,other_seines,1,9.14
2024-02-26,IDN,other_seines,2,41.50
2024-02-12,JPN,drifting_longlines,2,48.40
2024-02-13,JPN,drifting_longlines,1,23.95
2024-02-14,JPN,drifting_longlines,1,24.00
2024-02-02,IDN,set_longlines,7,132.79
2024-02-12,IDN,set_longlines,4,101.64
2024-02-05,IDN,set_longlines,5,107.63
2024-02-22,IDN,set_longlines,8,160.09
2024-02-04,IDN,set_longlines,8,158.02
2024-02-10,IDN,set_longlines,9,164.37
2024-02-19,IDN,fishing,15,265.24
2024-02-19,IDN,drifting_longlines,7,136.27
2024-02-23,IDN,squid_jigger,4,44.34
2024-02-05,IDN,squid_jigger,8,101.43
2024-02-01,IDN,squid_jigger,7,87.85
2024-02-19,IDN,squid_jigger,5,33.44
2024-02-26,IDN,fishing,14,191.09
2024-02-15,IDN,purse_seines,8,117.46
2024-02-09,IDN,purse_seines,9,166.41
2024-02-14,IDN,purse_seines,11,240.81
2024-02-20,IDN,fishing,11,162.55
2024-02-24,IDN,fishing,15,234.70
2024-02-06,IDN,squid_jigger,9,73.53
2024-02-05,IDN,trawlers,17,305.90
2024-02-20,IDN,squid_jigger,5,35.96
2024-02-11,IDN,trawlers,13,262.16
2024-02-13,IDN,squid_jigger,1,23.75
2024-02-09,IDN,squid_jigger,4,47.92
2024-02-16,IDN,squid_jigger,1,25.07
2024-02-12,IDN,squid_jigger,2,36.52
2024-02-11,IDN,squid_jigger,2,14.84
2024-02-29,IDN,purse_seines,11,126.25
2024-02-03,IDN,fishing,15,354.56
2024-02-04,IDN,fishing,13,224.09
2024-02-20,PAN,dredge_fishing,1,16.77
2024-02-25,IDN,set_longlines,6,99.02
2024-02-12,IDN,purse_seines,9,151.07
2024-02-01,IDN,purse_seines,8,150.50
2024-02-07,IDN,purse_seines,9,124.35
2024-02-29,IDN,fishing,19,351.40
2024-02-13,IDN,fishing,12,211.47
2024-02-28,IDN,fishing,16,300.11
2024-02-23,IDN,set_gillnets,2,28.28
2024-02-13,IDN,set_gillnets,3,25.44
2024-02-21,IDN,set_gillnets,1,7.20
2024-02-10,IDN,set_gillnets,3,73.50
2024-02-09,IDN,set_gillnets,2,47.51
2024-02-04,IDN,set_gillnets,1,23.60
2024-02-08,IDN,set_gillnets,2,49.81
2024-02-28,IDN,drifting_longlines,4,75.17
2024-02-26,IDN,drifting_longlines,5,146.95
2024-02-18,IDN,fishing,12,167.82
2024-02-05,IDN,fishing,9,174.99
2024-02-02,IDN,pots_and_traps,1,4.53
2024-02-29,IDN,pots_and_traps,1,8.29
2024-02-21,IDN,pots_and_traps,1,37.41
2024-02-16,IDN,pots_and_traps,1,33.24
2024-02-25,IDN,pots_and_traps,1,11.18
2024-02-06,IDN,fishing,10,159.08
2024-02-23,IDN,fishing,15,335.48
2024-02-03,IDN,drifting_longlines,6,74.19
2024-02-29,IDN,drifting_longlines,10,208.51
2024-02-01,IDN,fishing,8,139.54
2024-02-08,IDN,drifting_longlines,6,89.04
2024-02-14,IDN,drifting_longlines,8,134.76
2024-02-13,IDN,drifting_longlines,9,176.89
2024-02-21,IDN,set_longlines,5,110.17
2024-02-07,IDN,set_longlines,10,212.57
2024-02-05,IDN,purse_seines,10,238.85
2024-02-13,SGP,other_seines,1,24.28
2024-02-24,IDN,trawlers,13,290.62
2024-02-09,IDN,trawlers,13,256.35
2024-02-21,IDN,trawlers,13,293.55
2024-02-27,IDN,drifting_longlines,11,163.88
2024-02-17,IDN,drifting_longlines,8,175.29
2024-02-20,IDN,drifting_longlines,7,111.01
2024-02-22,IDN,drifting_longlines,5,88.25
2024-02-25,IDN,drifting_longlines,1,23.63
2024-02-23,IDN,trawlers,13,289.34
2024-02-14,IDN,trawlers,12,259.47
2024-02-12,IDN,trawlers,9,176.67
2024-02-29,IDN,trawlers,17,321.76
2024-02-28,IDN,trawlers,14,317.18
2024-02-03,LBR,set_longlines,1,18.08
2024-02-12,LBR,set_longlines,1,19.98
2024-02-22,IDN,purse_seines,11,121.07
2024-02-10,IDN,fishing,18,331.96
2024-02-23,IDN,pole_and_line,2,15.51
2024-02-04,IDN,pole_and_line,2,48.03
2024-02-13,IDN,purse_seines,7,74.11
2024-02-03,IDN,purse_seines,8,90.40
2024-02-09,IDN,fishing,18,400.82
2024-02-08,IDN,fishing,9,143.88
2024-02-03,JPN,drifting_longlines,1,10.54
2024-02-06,JPN,drifting_longlines,2,39.20
2024-02-23,IDN,drifting_longlines,6,149.20
2024-02-16,IDN,drifting_longlines,6,125.87
2024-02-18,IDN,drifting_longlines,8,196.76
2024-02-19,IDN,purse_seines,11,177.11
2024-02-18,IDN,purse_seines,8,134.04
2024-02-27,IDN,purse_seines,13,231.43
2024-02-27,IDN,set_longlines,4,48.95
2024-02-02,IDN,purse_seines,7,75.39
2024-02-19,IDN,trawlers,12,213.98
2024-02-04,IDN,squid_jigger,10,128.90
2024-02-03,IDN,pole_and_line,1,23.91
2024-02-16,IDN,pole_and_line,2,38.81
2024-02-28,IDN,pole_and_line,2,12.92
2024-02-17,IDN,set_gillnets,1,13.66
2024-02-14,IDN,set_gillnets,1,2.30
2024-02-03,IDN,set_gillnets,3,44.15
2024-02-22,IDN,trawlers,18,323.00
2024-02-07,IDN,trawlers,19,366.28
2024-02-16,IDN,trawlers,15,325.96
2024-02-10,IDN,trawlers,11,253.14
2024-02-13,IDN,trawlers,12,264.66
2024-02-01,IDN,trawlers,15,252.49
2024-02-16,IDN,fishing,13,231.30
2024-02-10,IDN,drifting_longlines,5,100.50
2024-02-03,IDN,squid_jigger,11,141.45
2024-02-07,IDN,squid_jigger,5,51.95
2024-02-12,IDN,fishing,12,270.63
2024-02-15,IDN,drifting_longlines,6,119.20
2024-02-04,IDN,other_seines,1,24.42
2024-02-02,IDN,other_seines,1,23.82
2024-02-16,IDN,other_seines,1,24.21
2024-02-17,IDN,other_seines,1,23.57
2024-02-12,IDN,other_seines,1,24.21
2024-02-17,IDN,trawlers,15,284.26
2024-02-15,IDN,fishing,12,214.87
2024-02-11,JPN,set_longlines,1,24.46
2024-02-29,JPN,set_longlines,1,24.11
2024-02-11,JPN,drifting_longlines,1,5.90
2024-02-18,JPN,drifting_longlines,2,48.06
2024-02-17,JPN,drifting_longlines,3,71.12
2024-02-20,JPN,drifting_longlines,1,23.81
2024-02-08,IDN,squid_jigger,4,37.63
2024-02-02,IDN,squid_jigger,8,103.96
2024-02-29,IDN,set_longlines,8,153.94
2024-02-01,IDN,drifting_longlines,5,80.45
2024-02-08,LBR,tuna_purse_seines,2,29.52
2024-02-02,IDN,fishing,12,225.24
2024-02-08,IDN,set_longlines,5,118.45
2024-02-26,IDN,trawlers,14,290.13
2024-02-26,IDN,set_longlines,3,49.69
2024-02-02,SGP,other_purse_seines,1,21.17
2024-02-01,SGP,other_purse_seines,1,15.47
2024-02-07,IDN,drifting_longlines,6,91.46
2024-02-21,IDN,drifting_longlines,9,179.67
2024-02-15,IDN,trawlers,14,282.66
2024-02-03,IDN,trawlers,10,197.22
2024-02-01,IDN,trollers,1,13.40
2024-02-06,IDN,other_purse_seines,1,24.03
2024-02-02,IDN,other_purse_seines,1,23.43
2024-02-12,IDN,other_purse_seines,3,76.56
2024-02-08,IDN,other_purse_seines,2,47.50
2024-02-22,IDN,fishing,16,262.63
2024-02-17,IDN,purse_seines,3,59.35
2024-02-08,LBR,dredge_fishing,1,23.93
2024-02-29,IDN,other_purse_seines,2,32.84
2024-02-10,IDN,other_purse_seines,1,25.01
2024-02-03,IDN,other_purse_seines,1,24.02
2024-02-04,IDN,purse_seines,12,167.10
2024-02-06,IDN,purse_seines,8,187.88
2024-02-11,IDN,fishing,15,297.91
2024-02-27,IDN,fishing,16,248.53
2024-02-21,JPN,drifting_longlines,2,46.36
2024-02-19,JPN,drifting_longlines,1,24.08
2024-02-20,IDN,trawlers,11,172.88
2024-02-26,IDN,purse_seines,10,149.89
2024-02-23,JPN,drifting_longlines,3,43.40
2024-02-28,JPN,drifting_longlines,1,24.12
2024-02-28,IDN,set_longlines,2,44.57
2024-02-03,PAN,pole_and_line,1,8.30
2024-02-01,JPN,drifting_longlines,2,47.52
2024-02-21,IDN,fishing,14,192.86
2024-02-29,LBR,set_longlines,1,24.09
2024-02-08,IDN,trawlers,9,147.76
2024-02-23,PAN,fishing,1,1.99
2024-02-29,PAN,fishing,1,0.39
2024-02-25,PAN,fishing,1,0.90
2024-02-06,PAN,set_gillnets,1,20.02
2024-02-14,PAN,set_gillnets,1,1.00
2024-02-26,MNG,fishing,1,11.31
2024-02-27,MNG,fishing,1,23.87
2024-02-03,MNG,fishing,1,32.07
2024-02-14,MNG,fishing,1,13.22
2024-02-23,MNG,fishing,1,23.81
2024-02-13,LBR,dredge_fishing,1,3.55
2024-02-18,LBR,dredge_fishing,1,1.00
2024-02-05,TWN,drifting_longlines,3,21.16
2024-02-09,TWN,drifting_longlines,1,14.67
2024-02-06,PAN,fishing,1,3.01
2024-02-23,IDN,other_purse_seines,1,23.47
2024-02-26,IDN,other_purse_seines,2,32.69
2024-02-24,PAN,dredge_fishing,1,18.84
2024-02-21,IDN,tuna_purse_seines,1,2.01
2024-02-25,IDN,tuna_purse_seines,1,27.13
2024-02-05,PAN,set_longlines,1,5.00
2024-02-15,IDN,other_purse_seines,3,57.77
2024-02-25,TWN,drifting_longlines,1,1.23
2024-02-07,IDN,dredge_fishing,1,1.80
2024-02-15,SGP,trollers,1,2.04
2024-02-16,TWN,drifting_longlines,4,54.68
2024-02-10,JPN,drifting_longlines,1,23.44
2024-02-06,IDN,set_longlines,12,182.71
2024-02-26,SGP,fishing,1,24.00
2024-02-12,SYC,drifting_longlines,1,3.85
2024-02-03,PAN,fishing,2,1.11
2024-02-07,PAN,fishing,2,19.97
2024-02-09,IDN,drifting_longlines,6,124.55
2024-02-05,DNK,fishing,1,21.08
2024-02-18,DNK,fishing,1,24.00
2024-02-17,DNK,fishing,1,24.05
2024-02-21,DNK,fishing,1,24.40
2024-02-19,IDN,other_purse_seines,1,23.99
2024-02-17,IDN,other_purse_seines,2,47.90
2024-02-20,IDN,other_purse_seines,1,3.34
2024-02-18,CHN,fishing,1,20.07
2024-02-14,IDN,fishing,9,205.29
2024-02-23,IDN,other_seines,1,15.50
2024-02-28,IDN,purse_seines,12,208.45
2024-02-14,MNG,trawlers,1,2.00
2024-02-18,MNG,trawlers,1,3.01
2024-02-09,MNG,trawlers,1,1.01
2024-02-15,MNG,trawlers,1,1.01
2024-02-28,MNG,trawlers,1,0.99
2024-02-20,IDN,purse_seines,8,111.41
2024-02-17,IDN,set_longlines,5,129.04
2024-03-05,PAN,fishing,1,1.78
2024-03-07,IDN,fishing,17,245.73
2024-03-04,IDN,fishing,21,356.42
2024-03-03,IDN,fishing,17,338.55
2024-03-07,IDN,trawlers,12,250.95
2024-03-05,MNG,fishing,1,38.16
2024-03-01,MNG,fishing,1,24.00
2024-03-05,TWN,drifting_longlines,4,52.78
2024-03-05,IDN,fishing,23,428.71
2024-03-06,IDN,trawlers,16,312.45
2024-03-03,PAN,dredge_fishing,1,4.20
2024-03-05,IDN,purse_seines,8,157.68
2024-03-06,JPN,drifting_longlines,3,68.54
2024-03-07,SGP,trawlers,1,23.97
2024-03-06,SGP,trawlers,1,24.04
2024-03-06,IDN,set_longlines,5,102.91
2024-03-04,IDN,trawlers,10,220.86
2024-03-04,IDN,drifting_longlines,8,135.95
2024-03-05,IDN,drifting_longlines,8,168.56
2024-03-02,IDN,drifting_longlines,13,269.64
2024-03-06,KOR,set_longlines,1,7.82
2024-03-05,LBR,fishing,1,24.07
2024-03-07,MYS,trawlers,1,6.61
2024-03-03,PAN,pots_and_traps,1,15.00
2024-03-07,PAN,fishing,1,0.96
2024-03-01,SGP,fixed_gear,1,11.54
2024-03-03,IDN,drifting_longlines,11,157.90
2024-03-01,IDN,drifting_longlines,13,306.68
2024-03-06,TWN,drifting_longlines,7,75.71
2024-03-03,IDN,trawlers,11,213.78
2024-03-02,IDN,trawlers,13,251.91
2024-03-05,IDN,trawlers,11,215.11
2024-03-03,IDN,other_seines,2,33.80
2024-03-01,IDN,purse_seines,9,108.22
2024-03-01,JPN,drifting_longlines,2,52.12
2024-03-04,JPN,drifting_longlines,3,56.10
2024-03-01,TUV,pole_and_line,1,24.03
2024-03-05,TUV,pole_and_line,1,18.78
2024-03-05,IDN,set_longlines,3,67.40
2024-03-06,MYS,set_gillnets,1,0.00
2024-03-08,TWN,drifting_longlines,4,25.37
2024-03-08,IDN,fishing,13,256.37
2024-03-08,PHL,trollers,1,24.17
2024-03-08,IDN,drifting_longlines,4,59.56
2024-03-08,IDN,other_purse_seines,3,83.77
2024-03-08,IDN,pole_and_line,1,24.09
2024-03-08,LBR,set_longlines,2,36.05
2024-03-08,IDN,set_longlines,6,100.82
2024-03-08,IDN,purse_seines,9,196.36
2024-03-08,IDN,trawlers,15,315.42
2024-03-08,IDN,squid_jigger,2,20.53
2024-03-02,IDN,squid_jigger,3,32.85
2024-03-03,IDN,squid_jigger,2,36.89
2024-03-07,IDN,squid_jigger,2,33.99
2024-03-06,IDN,purse_seines,4,48.99
2024-03-02,IDN,purse_seines,11,165.39
2024-03-06,,drifting_longlines,1,0.77
2024-03-01,IDN,squid_jigger,1,13.08
2024-03-02,IDN,fishing,19,323.98
2024-03-01,IDN,pots_and_traps,1,33.11
2024-03-06,SGP,other_seines,1,24.01
2024-03-01,IDN,fishing,18,388.56
2024-03-04,IDN,pole_and_line,2,30.00
2024-03-06,IDN,fishing,20,285.06
2024-03-07,IDN,dredge_fishing,1,22.74
2024-03-07,JPN,drifting_longlines,1,23.92
2024-03-07,IDN,pole_and_line,2,34.77
2024-03-06,NOR,trawlers,1,23.91
2024-03-04,IDN,purse_seines,14,221.20
2024-03-01,JPN,set_longlines,1,23.83
2024-03-02,JPN,set_longlines,1,24.01
2024-03-01,IDN,other_purse_seines,2,48.31
2024-03-06,LBR,dredge_fishing,1,23.47
2024-03-03,IDN,purse_seines,10,160.30
2024-03-07,IDN,drifting_longlines,5,101.13
2024-03-05,LBR,set_longlines,1,23.97
2024-03-03,LBR,fishing,1,14.18
2024-02-03,TWN,drifting_longlines,2,47.93
2024-02-04,PAN,fishing,2,26.04
2024-02-15,SGP,trawlers,1,3.99
2024-02-29,PAN,dredge_fishing,1,1.98
2024-02-04,IDN,trawlers,14,322.66
2024-02-24,TWN,drifting_longlines,1,2.18
2024-02-22,TWN,drifting_longlines,1,10.91
2024-02-15,PAN,fishing,1,23.94
2024-02-18,IDN,set_longlines,5,100.39
2024-02-14,TWN,drifting_longlines,2,13.34
2024-02-20,TWN,drifting_longlines,4,47.27
